"Code","ActiveIngredients","Size","Price"
"A12395","Lithium citrate 203.6<U+202F>mg per 1<U+202F>ml","150",NA
"A12396","Lixisenatide 50<U+202F>microgram per 1<U+202F>ml","1",NA
"A12397","Lixisenatide 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A12398","Lixisenatide 50<U+202F>microgram per 1<U+202F>ml","2",NA
"A12399","Lodoxamide (as Lodoxamide trometamol) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A12400","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12401","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12402","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12403","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12404","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12405","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12406","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12407","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12408","Lofepramine (as Lofepramine hydrochloride) 70<U+202F>mg","56",NA
"A12409","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12410","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12411","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12412","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12413","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12414","Lofepramine (as Lofepramine hydrochloride) 14<U+202F>mg per 1<U+202F>ml","150",NA
"A12415","Lomitapide 5<U+202F>mg","28",NA
"A12416","Lomitapide 10<U+202F>mg","28",NA
"A12417","Lomitapide 20<U+202F>mg","28",NA
"A12418","Lomustine 10<U+202F>mg","20",NA
"A12419","Lomustine 40<U+202F>mg","20",NA
"A12420","Lomustine 100<U+202F>mg","20",NA
"A12421","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12422","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12423","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12424","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12425","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12426","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12427","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12428","Loperamide hydrochloride 2<U+202F>mg","18",NA
"A12429","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12430","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12431","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12432","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12433","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12434","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12435","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12436","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12437","Loperamide hydrochloride 2<U+202F>mg","18",NA
"A12438","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12439","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12440","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12441","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12442","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12443","Loperamide hydrochloride 2<U+202F>mg","10",NA
"A12444","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12445","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12446","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12447","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12448","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12449","Loperamide hydrochloride 2<U+202F>mg","10",NA
"A12450","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12451","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12452","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12453","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12454","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12455","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12456","Loperamide hydrochloride 200<U+202F>microgram per 1<U+202F>ml","6",NA
"A12457","Loperamide hydrochloride 2<U+202F>mg","10",NA
"A12458","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12459","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12460","Loperamide hydrochloride 2<U+202F>mg","10",NA
"A12461","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12462","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12463","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12464","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12465","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12466","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12467","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12468","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12469","Loperamide hydrochloride 2<U+202F>mg","12",NA
"A12470","Loperamide hydrochloride 2<U+202F>mg","30",NA
"A12471","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12472","Loperamide hydrochloride 2<U+202F>mg","100",NA
"A12473","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12474","Dimeticone (as Simeticone) 125<U+202F>mg","12",NA
"A12475","Loperamide hydrochloride 2<U+202F>mg","6",NA
"A12476","Dimeticone (as Simeticone) 125<U+202F>mg","12",NA
"A12477","Lopinavir 100<U+202F>mg","60",NA
"A12478","Ritonavir 25<U+202F>mg","120",NA
"A12479","Ritonavir 50<U+202F>mg","120",NA
"A12480","Lopinavir 200<U+202F>mg","120",NA
"A12481","Ritonavir 50<U+202F>mg","120",NA
"A12482","Lopinavir 200<U+202F>mg","120",NA
"A12483","Ritonavir 50<U+202F>mg","120",NA
"A12484","Lopinavir 200<U+202F>mg","300",NA
"A12485","Ritonavir 50<U+202F>mg","60",NA
"A12486","Lopinavir 200<U+202F>mg","120",NA
"A12487","Lopinavir 80<U+202F>mg per 1<U+202F>ml","120",NA
"A12488","Ritonavir 20<U+202F>mg per 1<U+202F>ml","120",NA
"A12489","Loprazolam (as Loprazolam mesilate) 1<U+202F>mg","28",NA
"A12490","Loprazolam (as Loprazolam mesilate) 1<U+202F>mg","28",NA
"A12491","Loprazolam (as Loprazolam mesilate) 1<U+202F>mg","28",NA
"A12492","Loratadine 10<U+202F>mg","7",NA
"A12493","Loratadine 10<U+202F>mg","30",NA
"A12494","Loratadine 10<U+202F>mg","7",NA
"A12495","Loratadine 10<U+202F>mg","14",NA
"A12496","Loratadine 10<U+202F>mg","30",NA
"A12497","Loratadine 10<U+202F>mg","60",NA
"A12498","Loratadine 10<U+202F>mg","30",NA
"A12499","Loratadine 10<U+202F>mg","30",NA
"A12500","Loratadine 10<U+202F>mg","30",NA
"A12501","Loratadine 10<U+202F>mg","30",NA
"A12502","Loratadine 10<U+202F>mg","30",NA
"A12503","Loratadine 10<U+202F>mg","14",NA
"A12504","Loratadine 10<U+202F>mg","30",NA
"A12505","Loratadine 10<U+202F>mg","30",NA
"A12506","Loratadine 10<U+202F>mg","30",NA
"A12507","Loratadine 1<U+202F>mg per 1<U+202F>ml","7",NA
"A12508","Loratadine 1<U+202F>mg per 1<U+202F>ml","30",NA
"A12509","Loratadine 1<U+202F>mg per 1<U+202F>ml","30",NA
"A12510","Loratadine 1<U+202F>mg per 1<U+202F>ml","30",NA
"A12511","Loratadine 1<U+202F>mg per 1<U+202F>ml","14",NA
"A12512","Loratadine 1<U+202F>mg per 1<U+202F>ml","30",NA
"A12513","Loratadine 1<U+202F>mg per 1<U+202F>ml","60",NA
"A12514","Loratadine 1<U+202F>mg per 1<U+202F>ml","70",NA
"A12515","Loratadine 1<U+202F>mg per 1<U+202F>ml","100",NA
"A12516","Loratadine 1<U+202F>mg per 1<U+202F>ml","120",NA
"A12517","Loratadine 1<U+202F>mg per 1<U+202F>ml","100",NA
"A12518","Loratadine 10<U+202F>mg","100",NA
"A12519","Loratadine 10<U+202F>mg","100",NA
"A12520","Loratadine 10<U+202F>mg","100",NA
"A12521","Loratadine 10<U+202F>mg","100",NA
"A12522","Loratadine 10<U+202F>mg","100",NA
"A12523","Loratadine 10<U+202F>mg","120",NA
"A12524","Loratadine 10<U+202F>mg","100",NA
"A12525","Loratadine 10<U+202F>mg","100",NA
"A12526","Lorazepam 500<U+202F>microgram","28",NA
"A12527","Lorazepam 500<U+202F>microgram","28",NA
"A12528","Lorazepam 500<U+202F>microgram","28",NA
"A12529","Lorazepam 1<U+202F>mg","28",NA
"A12530","Lorazepam 1<U+202F>mg","28",NA
"A12531","Lorazepam 1<U+202F>mg","28",NA
"A12532","Lorazepam 1<U+202F>mg","28",NA
"A12533","Lorazepam 1<U+202F>mg","28",NA
"A12534","Lorazepam 1<U+202F>mg","28",NA
"A12535","Lorazepam 1<U+202F>mg","28",NA
"A12536","Lorazepam 1<U+202F>mg","28",NA
"A12537","Lorazepam 1<U+202F>mg","28",NA
"A12538","Lorazepam 1<U+202F>mg","30",NA
"A12539","Lorazepam 1<U+202F>mg","28",NA
"A12540","Lorazepam 1<U+202F>mg","28",NA
"A12541","Lorazepam 2.5<U+202F>mg","28",NA
"A12542","Lorazepam 2.5<U+202F>mg","28",NA
"A12543","Lorazepam 2.5<U+202F>mg","28",NA
"A12544","Lorazepam 2.5<U+202F>mg","28",NA
"A12545","Lorazepam 2.5<U+202F>mg","28",NA
"A12546","Lorazepam 2.5<U+202F>mg","28",NA
"A12547","Lorazepam 2.5<U+202F>mg","28",NA
"A12548","Lorazepam 2.5<U+202F>mg","28",NA
"A12549","Lorazepam 2.5<U+202F>mg","28",NA
"A12550","Lorazepam 2.5<U+202F>mg","28",NA
"A12551","Lorazepam 2.5<U+202F>mg","30",NA
"A12552","Lorazepam 1<U+202F>mg per 1<U+202F>ml","28",NA
"A12553","Lorazepam 1<U+202F>mg per 1<U+202F>ml","28",NA
"A12554","Lorazepam 1<U+202F>mg per 1<U+202F>ml","150",NA
"A12555","Lorazepam 2<U+202F>mg per 1<U+202F>ml","150",NA
"A12556","Lorazepam 4<U+202F>mg per 1<U+202F>ml","150",NA
"A12557","Lorazepam 500<U+202F>microgram","10",NA
"A12558","Lorazepam 500<U+202F>microgram","10",NA
"A12559","Lorlatinib 25<U+202F>mg","120",NA
"A12560","Lorlatinib 100<U+202F>mg","30",NA
"A12561","Lormetazepam 500<U+202F>microgram","30",NA
"A12562","Lormetazepam 500<U+202F>microgram","30",NA
"A12563","Lormetazepam 500<U+202F>microgram","30",NA
"A12564","Lormetazepam 500<U+202F>microgram","30",NA
"A12565","Lormetazepam 500<U+202F>microgram","30",NA
"A12566","Lormetazepam 500<U+202F>microgram","30",NA
"A12567","Lormetazepam 500<U+202F>microgram","30",NA
"A12568","Lormetazepam 500<U+202F>microgram","30",NA
"A12569","Lormetazepam 1<U+202F>mg","30",NA
"A12570","Lormetazepam 1<U+202F>mg","30",NA
"A12571","Lormetazepam 1<U+202F>mg","30",NA
"A12572","Lormetazepam 1<U+202F>mg","30",NA
"A12573","Lormetazepam 1<U+202F>mg","30",NA
"A12574","Lormetazepam 1<U+202F>mg","30",NA
"A12575","Lormetazepam 1<U+202F>mg","30",NA
"A12576","Lormetazepam 1<U+202F>mg","30",NA
"A12577","Losartan potassium 12.5<U+202F>mg","28",NA
"A12578","Losartan potassium 12.5<U+202F>mg","28",NA
"A12579","Losartan potassium 12.5<U+202F>mg","28",NA
"A12580","Losartan potassium 12.5<U+202F>mg","28",NA
"A12581","Losartan potassium 12.5<U+202F>mg","28",NA
"A12582","Losartan potassium 12.5<U+202F>mg","28",NA
"A12583","Losartan potassium 12.5<U+202F>mg","28",NA
"A12584","Losartan potassium 12.5<U+202F>mg","28",NA
"A12585","Losartan potassium 12.5<U+202F>mg","28",NA
"A12586","Losartan potassium 25<U+202F>mg","28",NA
"A12587","Losartan potassium 25<U+202F>mg","28",NA
"A12588","Losartan potassium 25<U+202F>mg","28",NA
"A12589","Losartan potassium 25<U+202F>mg","28",NA
"A12590","Losartan potassium 25<U+202F>mg","28",NA
"A12591","Losartan potassium 25<U+202F>mg","28",NA
"A12592","Losartan potassium 25<U+202F>mg","28",NA
"A12593","Losartan potassium 25<U+202F>mg","28",NA
"A12594","Losartan potassium 25<U+202F>mg","28",NA
"A12595","Losartan potassium 25<U+202F>mg","28",NA
"A12596","Losartan potassium 25<U+202F>mg","28",NA
"A12597","Losartan potassium 25<U+202F>mg","28",NA
"A12598","Losartan potassium 25<U+202F>mg","28",NA
"A12599","Losartan potassium 25<U+202F>mg","28",NA
"A12600","Losartan potassium 25<U+202F>mg","28",NA
"A12601","Losartan potassium 25<U+202F>mg","28",NA
"A12602","Losartan potassium 25<U+202F>mg","28",NA
"A12603","Losartan potassium 25<U+202F>mg","28",NA
"A12604","Losartan potassium 50<U+202F>mg","28",NA
"A12605","Losartan potassium 50<U+202F>mg","28",NA
"A12606","Losartan potassium 50<U+202F>mg","28",NA
"A12607","Losartan potassium 50<U+202F>mg","28",NA
"A12608","Losartan potassium 50<U+202F>mg","28",NA
"A12609","Losartan potassium 50<U+202F>mg","28",NA
"A12610","Losartan potassium 50<U+202F>mg","28",NA
"A12611","Losartan potassium 50<U+202F>mg","28",NA
"A12612","Losartan potassium 50<U+202F>mg","28",NA
"A12613","Losartan potassium 50<U+202F>mg","28",NA
"A12614","Losartan potassium 50<U+202F>mg","28",NA
"A12615","Losartan potassium 50<U+202F>mg","28",NA
"A12616","Losartan potassium 50<U+202F>mg","28",NA
"A12617","Losartan potassium 50<U+202F>mg","28",NA
"A12618","Losartan potassium 50<U+202F>mg","28",NA
"A12619","Losartan potassium 50<U+202F>mg","28",NA
"A12620","Losartan potassium 50<U+202F>mg","28",NA
"A12621","Losartan potassium 50<U+202F>mg","28",NA
"A12622","Losartan potassium 100<U+202F>mg","28",NA
"A12623","Losartan potassium 100<U+202F>mg","28",NA
"A12624","Losartan potassium 100<U+202F>mg","28",NA
"A12625","Losartan potassium 100<U+202F>mg","28",NA
"A12626","Losartan potassium 100<U+202F>mg","28",NA
"A12627","Losartan potassium 100<U+202F>mg","28",NA
"A12628","Losartan potassium 100<U+202F>mg","28",NA
"A12629","Losartan potassium 100<U+202F>mg","28",NA
"A12630","Losartan potassium 100<U+202F>mg","28",NA
"A12631","Losartan potassium 100<U+202F>mg","28",NA
"A12632","Losartan potassium 100<U+202F>mg","28",NA
"A12633","Losartan potassium 100<U+202F>mg","28",NA
"A12634","Losartan potassium 100<U+202F>mg","28",NA
"A12635","Losartan potassium 100<U+202F>mg","28",NA
"A12636","Losartan potassium 100<U+202F>mg","28",NA
"A12637","Losartan potassium 100<U+202F>mg","28",NA
"A12638","Losartan potassium 100<U+202F>mg","28",NA
"A12639","Losartan potassium 100<U+202F>mg","28",NA
"A12640","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12641","Losartan potassium 50<U+202F>mg","28",NA
"A12642","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12643","Losartan potassium 50<U+202F>mg","28",NA
"A12644","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12645","Losartan potassium 50<U+202F>mg","28",NA
"A12646","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12647","Losartan potassium 50<U+202F>mg","28",NA
"A12648","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12649","Losartan potassium 50<U+202F>mg","28",NA
"A12650","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12651","Losartan potassium 50<U+202F>mg","28",NA
"A12652","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12653","Losartan potassium 50<U+202F>mg","28",NA
"A12654","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12655","Losartan potassium 50<U+202F>mg","28",NA
"A12656","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12657","Losartan potassium 50<U+202F>mg","28",NA
"A12658","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12659","Losartan potassium 50<U+202F>mg","28",NA
"A12660","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12661","Losartan potassium 50<U+202F>mg","28",NA
"A12662","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12663","Losartan potassium 50<U+202F>mg","28",NA
"A12664","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12665","Losartan potassium 50<U+202F>mg","28",NA
"A12666","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12667","Losartan potassium 50<U+202F>mg","28",NA
"A12668","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12669","Losartan potassium 100<U+202F>mg","28",NA
"A12670","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12671","Losartan potassium 100<U+202F>mg","28",NA
"A12672","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12673","Losartan potassium 100<U+202F>mg","28",NA
"A12674","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12675","Losartan potassium 100<U+202F>mg","28",NA
"A12676","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12677","Losartan potassium 100<U+202F>mg","28",NA
"A12678","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12679","Losartan potassium 100<U+202F>mg","28",NA
"A12680","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12681","Losartan potassium 100<U+202F>mg","28",NA
"A12682","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12683","Losartan potassium 100<U+202F>mg","28",NA
"A12684","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12685","Losartan potassium 100<U+202F>mg","28",NA
"A12686","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12687","Losartan potassium 100<U+202F>mg","28",NA
"A12688","Hydrochlorothiazide 12.5<U+202F>mg","28",NA
"A12689","Losartan potassium 100<U+202F>mg","28",NA
"A12690","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12691","Losartan potassium 100<U+202F>mg","28",NA
"A12692","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12693","Losartan potassium 100<U+202F>mg","28",NA
"A12694","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12695","Losartan potassium 100<U+202F>mg","28",NA
"A12696","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12697","Losartan potassium 100<U+202F>mg","28",NA
"A12698","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12699","Losartan potassium 100<U+202F>mg","28",NA
"A12700","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12701","Losartan potassium 100<U+202F>mg","28",NA
"A12702","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12703","Losartan potassium 100<U+202F>mg","28",NA
"A12704","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12705","Losartan potassium 100<U+202F>mg","28",NA
"A12706","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12707","Losartan potassium 100<U+202F>mg","28",NA
"A12708","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12709","Losartan potassium 100<U+202F>mg","28",NA
"A12710","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12711","Losartan potassium 100<U+202F>mg","28",NA
"A12712","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12713","Losartan potassium 100<U+202F>mg","28",NA
"A12714","Hydrochlorothiazide 25<U+202F>mg","28",NA
"A12715","Losartan potassium 100<U+202F>mg","28",NA
"A12716","Loteprednol etabonate 5<U+202F>mg per 1<U+202F>ml","5",NA
"A12717","Loxapine 9.1<U+202F>mg","1",NA
"A12718","Ivacaftor 125<U+202F>mg","112",NA
"A12719","Lumacaftor 100<U+202F>mg","112",NA
"A12720","Ivacaftor 125<U+202F>mg","112",NA
"A12721","Lumacaftor 200<U+202F>mg","112",NA
"A12722","Lurasidone (as Lurasidone hydrochloride) 18.5<U+202F>mg","28",NA
"A12723","Lurasidone (as Lurasidone hydrochloride) 37<U+202F>mg","28",NA
"A12724","Lurasidone (as Lurasidone hydrochloride) 74<U+202F>mg","28",NA
"A12725","Lusutrombopag 3<U+202F>mg","7",NA
"A12726","Lutropin alfa 75<U+202F>unit","1",NA
"A12727","Lymecycline 408<U+202F>mg","28",NA
"A12728","Lymecycline 408<U+202F>mg","56",NA
"A12729","Lymecycline 408<U+202F>mg","28",NA
"A12730","Lymecycline 408<U+202F>mg","56",NA
"A12731","Lymecycline 408<U+202F>mg","28",NA
"A12732","Lymecycline 408<U+202F>mg","56",NA
"A12733","Lymecycline 408<U+202F>mg","28",NA
"A12734","Lymecycline 408<U+202F>mg","56",NA
"A12735","Lymecycline 408<U+202F>mg","56",NA
"A12736","Lymecycline 408<U+202F>mg","28",NA
"A12737","Lymecycline 408<U+202F>mg","56",NA
"A12738","Lymecycline 408<U+202F>mg","28",NA
"A12739","Lymecycline 408<U+202F>mg","28",NA
"A12740","Lymecycline 408<U+202F>mg","56",NA
"A12741","Lymecycline 408<U+202F>mg","28",NA
"A12742","Lymecycline 408<U+202F>mg","56",NA
"A12743","Macitentan 10<U+202F>mg","30",NA
"A12744","Macrogol '3350' 85<U+202F>gram per 1<U+202F>litre","28",NA
"A12745","Polyethylene glycol 3350 59<U+202F>gram","4",NA
"A12746","Potassium chloride 742.5<U+202F>mg","4",NA
"A12747","Sodium bicarbonate 1.685<U+202F>gram","4",NA
"A12748","Sodium chloride 1.465<U+202F>gram","4",NA
"A12749","Sodium sulfate anhydrous 5.685<U+202F>gram","4",NA
"A12750","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","500",NA
"A12751","Chloride 53<U+202F>mmol per 1<U+202F>litre","10",NA
"A12752","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12753","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12754","Sodium 65<U+202F>mmol per 1<U+202F>litre","20",NA
"A12755","Bicarbonate 85<U+202F>mmol per 1<U+202F>litre","30",NA
"A12756","Chloride 267<U+202F>mmol per 1<U+202F>litre","20",NA
"A12757","Macrogol '3350' 13.125<U+202F>gram","30",NA
"A12758","Potassium 27<U+202F>mmol per 1<U+202F>litre","30",NA
"A12759","Sodium 325<U+202F>mmol per 1<U+202F>litre","30",NA
"A12760","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12761","Chloride 53<U+202F>mmol per 1<U+202F>litre","20",NA
"A12762","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12763","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12764","Sodium 65<U+202F>mmol per 1<U+202F>litre","20",NA
"A12765","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12766","Chloride 53<U+202F>mmol per 1<U+202F>litre","20",NA
"A12767","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12768","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","20",NA
"A12769","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12770","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12771","Chloride 53<U+202F>mmol per 1<U+202F>litre","20",NA
"A12772","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12773","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12774","Sodium 65<U+202F>mmol per 1<U+202F>litre","20",NA
"A12775","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12776","Chloride 53<U+202F>mmol per 1<U+202F>litre","20",NA
"A12777","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12778","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12779","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12780","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12781","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12782","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","50",NA
"A12783","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","20",NA
"A12784","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12785","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","50",NA
"A12786","Chloride 53<U+202F>mmol per 1<U+202F>litre","20",NA
"A12787","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12788","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","4",NA
"A12789","Sodium 65<U+202F>mmol per 1<U+202F>litre","500",NA
"A12790","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","10",NA
"A12791","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12792","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12793","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","20",NA
"A12794","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12795","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12796","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12797","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12798","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12799","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12800","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12801","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12802","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12803","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","20",NA
"A12804","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12805","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12806","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12807","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","20",NA
"A12808","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12809","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12810","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12811","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12812","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12813","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","20",NA
"A12814","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12815","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12816","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
"A12817","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","30",NA
"A12818","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12819","Sodium 65<U+202F>mmol per 1<U+202F>litre","30",NA
"A12820","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","30",NA
"A12821","Chloride 53<U+202F>mmol per 1<U+202F>litre","50",NA
"A12822","Macrogol '3350' 105<U+202F>gram per 1<U+202F>litre","20",NA
"A12823","Potassium 5.4<U+202F>mmol per 1<U+202F>litre","30",NA
"A12824","Sodium 65<U+202F>mmol per 1<U+202F>litre","50",NA
"A12825","Bicarbonate 17<U+202F>mmol per 1<U+202F>litre","20",NA
"A12826","Chloride 53<U+202F>mmol per 1<U+202F>litre","30",NA
